GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/20/2010,Longwood,95,Columbia,76
11/20/2010,Louisiana-Monroe,70,Southeastern Oklahoma State,59
11/20/2010,Louisville,62,Jackson State,45
11/20/2010,Loyola Marymount,78,Dowling,71
11/20/2010,Manhattan,80,LIU-Brooklyn,91
11/20/2010,Marquette,82,South Dakota,69
11/20/2010,Marshall,68,Chattanooga,69
11/20/2010,UMBC,74,Central Connecticut,82
11/20/2010,Maryland-Eastern Shore,86,Kean,68
11/20/2010,UMass,71,New Mexico State,57
11/20/2010,McNeese State,92,Louisiana College,53
11/20/2010,Mercer,69,Harvard,75
11/20/2010,Miami (OH),59,IUPUI,58
11/20/2010,Milwaukee,65,Northern Iowa,63
11/20/2010,Ole Miss,71,Dayton,78
